mol,Name,Source,Tox,CAS,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
Fc1c([N+](=O)[O-])cccc1,1-fluoro-2-nitrobenzene,,3.53,1493-27-2,16.488173,1,1,0,0,0,0,6,0,14,0,0,10,8,27.793194,1.9852282,0,0,6,0,1,4,0,1,2,0,0,2.4522195,-2.0931511,-0.61809748,0.65427446,2.2238212,-2.0174088,-0.47501761,0.79645383,2.3069232,-1.8577492,-0.46179181,0.80831844,2.4394882,6.8318281,1,0.1,6,14,1,10,1,1,0.1,7,0,7.5604777,4.9510756,3.309401,3.9831276,4.7152143,2.6050878,1.8273503,2.6498299,0,0,0.95113599,5,0,-0.72342706,-0.41714165,0.065667622,1.9700476,-0.80911165,-0.23915523,0.21226946,2.072062,-0.49122307,-0.20299761,0.18775021,2.1974509,3.1446104,2.5015221,2.5015221,2.1203654,2.1203654,-2.2236948,0,4.3949108,3.3693886,0,14,14,1,0,8.1000004,3.4082839,1.9911112,5.3959842,2.1532969,1.2037791,1.1619157,3,0,1,0,1.992,-2.4700899,3.3484478,1,1,6,1,1,1,0,0,0,0.71416515,-0.71416515,0.44100457,0.36159414,47.425484,19.836529,0,0,9.0208454,0,6.6995511,0,0,0,11.908636,0,33.931049,0,0.61457354,0.35583714,0.26339462,0.38542646,0.64416289,0.12203184,79.170647,45.839684,33.931049,49.651443,82.982407,15.720397,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,128.8221,0,0,0,128.8221,0,3,1,1,0,0,0,1.7339,0,7.0856161,9.1210184,50.935009,0,0,0,70.572739,0,17.716862,3.3054399,7.0856161,14.960114,60.056026,0,2.7567475,70.572739,0,0,45.82,0.72192812,4.321928,2.1508632,6.3392239,128.8221,144.11082,0,0,0,0,94.891045,33.931049,0,141.101,114,12,46
O=Cc1cc(OC)c(OC)cc1,3 4-dimethoxybenzaldehyde,,3.03,120-14-9,24.913931,1,1,0,0,3,0,6,0,22,0,3,12,8,31.604002,1.4365456,0,0,9,0,0,10,0,0,3,0,0,2.4473484,-2.2913747,-0.57072186,0.35249659,2.2555585,-2.2810943,-0.5177713,0.47643778,2.4189928,-2.0087702,-0.29208183,0.63554907,2.5486407,15.72207,3,0.25,6,22,1,12,1,3,0.25,15,0,8.9746914,7.0341458,5.809401,6.5604777,5.8123918,3.4871562,2.0267091,2.8745749,0,0,0.79987466,7,0,-0.78350323,-0.4202441,-0.1071291,2.1325645,-0.89000952,-0.30314115,0.059172861,2.2821248,-0.48455185,-0.19974914,0.077934697,2.4139543,3.4703834,5.0816021,5.0816021,1.680479,1.680479,-1.9167187,0,4.3454771,4.5339093,0,14,14,1,0,10.083333,4.8888888,2.4930749,7.4624853,3.5079942,1.7456119,2.1815295,3,0,1,0,1.53174,-1.49175,4.5997314,0,1,6,1,1,3,0,0,0,0.93457514,-0.93457514,0.25061423,0.34851807,49.634022,0,16.917038,71.316856,22.058474,0,0,0,0,0,0,0,13.566921,5.0075121,0.77236575,0.10405797,0.10405797,0.22763428,0.89594203,0.12357631,137.86792,18.574432,18.574432,40.632908,159.92639,22.058474,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,178.50082,0,0,0,178.50082,0,4,1,1,0,0,0.16666667,1.5163,21.999775,0,20.14522,0,27.047791,70.767738,0,52.929554,0,10.486856,4.49335,23.862217,21.999775,0,13.672431,0,52.929554,0,90.912956,35.529999,0.65002245,4.5849624,2.5133512,6.8640714,178.50082,195.15057,18.574432,0,0,0,137.86792,22.058474,18.574432,166.17599,198,16,54
O(C)c1ccc(CN)cc1,4-methoxybenzylamine,,3.74,2393-23-9,23.316723,1,1,0,0,2,0,6,0,21,1,3,10,8,30.184917,1.4373771,0,0,8,0,0,11,0,1,1,0,0,2.2137659,-2.3729408,-0.58599287,0.53505266,2.2925713,-2.4783297,-0.51662803,0.652147,2.4257522,-2.0723822,-0.38562268,0.72845131,2.5945616,13.281277,2,0.2,6,21,0,10,2,2,0.2,15,0,7.3973413,6.0021062,5.0165076,5.6902347,4.8637033,3.1955414,2.1749206,3.0412414,0,0,0.74729168,7,0,-0.83194476,-0.40252236,-0.000117671,2.1133802,-1.3370693,-0.29005307,0.12687166,2.2615998,-0.48975757,-0.20204537,0.1408747,2.3997893,2.989687,3.6420605,2.7641134,-1.1204466,1.3386226,-1.4914659,0,3.252296,4.0743089,0.99653602,14,4.541081,1.023351,3.3774762,8.1000004,4,2.2857144,6.2298064,2.9756629,1.6542789,1.8537804,2,2,1,0,1.118,-1.10018,4.1703053,0,1,6,1,1,2,0,0,0,0.45857495,-0.45857495,0.39502069,0.71457255,31.616989,8.458519,20.299505,35.658428,0,0,0,33.825527,0,17.742489,0,0,0,2.503756,0.98332,0.36022583,0.016680008,0.016680008,0.6397742,0,147.60146,54.071774,2.503756,2.503756,96.033447,0,0.42857143,0.75,0,0,0,0,1,0,0,0,1,0,150.10522,0,0,0,150.10522,0,4,0,1,0,0,1,1.4203,43.897076,0,0,0,3.185575,35.383869,0,70.572739,0,23.683006,4.1090398,0,10.999887,0,8.4290028,32.897186,89.012314,0,35.383869,35.25,0.72192812,4.321928,2.4572477,6.2873545,150.10522,168.73465,2.503756,0,0,0,129.85898,0,20.246246,137.18199,125,11,44
Clc1c(N)c([N+](=O)[O-])cc(Cl)c1,2 4-dichloro-6-nitroaniline,,4.4200001,2683-43-4,21.391172,1,1,0,0,0,0,6,0,16,1,1,12,9,34.490227,2.1556392,0,0,6,2,0,4,0,2,2,0,0,2.6393769,-2.1632202,-0.56289572,0.56252623,2.2574773,-2.3197491,-0.23144479,0.93266302,2.4151046,-1.8781087,-0.23528497,0.92418289,2.5309803,5.8088279,1,0.083333336,6,16,1,12,1,1,0.083333336,9,0,9.3009653,7.2635479,3.1547005,3.7236147,5.5197444,3.6660242,1.6547005,2.2996597,0,0,1.0931644,5,0,-0.78769922,-0.41828635,0.019901836,2.0475953,-1.3342017,-0.1265,0.38620302,2.2235126,-0.49063796,-0.066864759,0.41920933,2.3295779,4.3388653,4.4192357,1.0641588,2.5258994,2.5258994,-3.0076919,0,4.9131646,4.5399923,0,14,14,1,0,10.083333,3.8062284,2.25,9.1054821,3.4025795,1.995472,2.5818439,4,2,1,0,2.4230001,-3.3645699,4.4858027,1,1,6,1,1,1,0,0,0,0.77256143,-0.77256143,0.39145145,0.33430269,15.808495,28.876022,6.6995511,0,0,0,6.6995511,0,76.90638,0,0,0,33.931049,0,0.75946987,0.65614933,0.20086928,0.24053012,0.34385067,0.039660841,128.29045,110.83743,33.931049,40.6306,58.083618,6.6995511,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,168.92105,0,0,0,168.92105,0,3,1,1,0,0,0,2.4837999,32.897186,7.0856161,0,50.935009,0,0,7.0012131,35.286369,0,83.810783,4.7528801,7.0856161,0,50.935009,7.0012131,5.513495,68.183556,0,78.297287,71.839996,0.65002245,4.5849624,2.2602959,6.8925805,168.92105,185.68477,0,0,0,17.742489,117.24751,33.931049,17.742489,207.01599,184,17,58
ClCCCCCCC#N,7-Chloroheptanonitrile,,4.5300002,22819-91-6,23.601517,1,0,0,1,1,0,0,0,21,0,1,9,7,29.567631,1.4079825,0,0,7,1,0,12,0,1,0,0,0,2.6038775,-2.6391816,-0.22379425,0.1646959,2.5989149,-2.5028155,-0.056450151,0.48347136,2.7437644,-2.3959455,-0.008011039,0.50596935,2.8445439,14.198484,5,0.625,0,20,0,8,7,6,0.75,19,1,6.9497476,6.3237476,4.7426405,4.9497476,4.4142137,3.8789439,2.8535533,3,0,0,0.80227965,8,0,-0.79106611,-0.29219428,-0.04722767,2.2108674,-0.75844938,-0.1230848,0.20036764,2.3452632,-0.5298115,-0.095571339,0.23308979,2.4307415,2.2289855,3.0326021,3.0326021,2.1339531,2.1339531,-1.92726,0,1.0982976,3.8948948,0,14,14,1,0,9,8,8,8.9218445,7.9210172,7.9118915,7.8522315,1,0,1,0,2.188,-1.73564,4.1688929,1,1,0,1,0,6,0,0,0,0.30957612,-0.30957612,0.34048888,0.63268089,63.233978,38.419209,15.808495,0,0,0,0,0,0,29.581947,17.742489,0,0,0,1,0.28718704,0,0,0.71281296,0,164.78612,47.324436,0,0,117.46168,0,0.5,1,0,0,0,0,1,0,0,0,1,0,164.78612,0,0,0,164.78612,0,4,1,0,0,0,1,2.6992841,0,0,0,66.844536,0,0,0,0,94.342026,39.148643,3.9418001,0,31.059357,0,16.601746,0,94.342026,19.183437,39.148643,23.790001,0.71696228,4,2.7942088,5.9168892,164.78612,166.44695,17.742489,0,0,0,126.74412,20.299505,17.742489,145.633,120,6,30
O=C(O)CN(CC(=O)O)CC(=O)O,nitrilotriacetic acid,,2.28,139-13-9,22.473137,0,0,2,4,7,0,0,0,22,6,13,13,3,38.55862,1.7526646,0,0,6,0,0,9,0,1,6,0,0,3.895556,-2.5208707,-0.51567763,0.45727575,2.5453827,-2.7204936,-0.48978317,0.39226127,2.3398747,-2.2746756,-0.30528545,0.58577096,2.7793529,14.692863,6,0.5,0,21,3,12,4,6,0.5,18,0,10.430721,6.6349196,3.6213202,3.8533711,5.9135914,3.2925363,1.0606601,1.2247449,0,0,1.0309895,6,0,-0.8027935,-0.48125502,0.10249857,2.1991518,-0.97501862,-0.47734806,0.036170315,2.032676,-0.50135535,-0.24192245,0.21082792,2.4120014,8.3529348,12.99476,4.246263,-4.0540528,-1.5654345,0.22634211,0,2.8638082,4.183691,-1.9999213,1.987149,14,1.0027912,14.011413,13,6.4533334,8.333333,10.353063,5.0324931,6.3832707,4.0078244,7,3,1,0,-1.318,0.52405,4.0036364,0,1,0,1,0,6,0,0,0,1.4706854,-1.4706854,0.21591529,0.17683221,0,0,0,60.898518,0,0,44.125496,0,0,40.700764,0,0,40.700764,0,0.54498583,0.43664363,0.21832182,0.45501417,0.5633564,0.23669234,101.59928,81.401527,40.700764,84.826263,105.02402,44.125496,0.5,1,0,0,0,0,1,0,0,0,1,0,186.42554,0,0,0,186.42554,0,3,0,0,0,0,0.07692308,-1.4578,0,26.360706,71.586647,131.47441,0,0,0,0,0,0,3.9347401,71.586647,3.1243138,76.155678,0,0,0,78.55513,0,115.14,0.5894835,4.5849624,2.5766213,7.1046243,186.42554,176.59442,0,0,0,0,60.898518,44.125496,81.401527,191.13899,270,12,54
FC(F)(F)c1ccc(F)cc1,4-fluorobenzotrifluoride,,3.3699999,402-44-8,17.215172,0,0,1,1,0,0,6,0,15,0,0,11,11,22.951874,1.530125,0,0,7,0,4,4,0,0,0,0,0,2.4274511,-2.1808944,-0.60724217,0.58836222,2.3503137,-2.0596445,-0.41257495,0.78662997,2.4562054,-1.9760898,-0.42711407,0.76321471,2.5237,9.1848278,0,0,6,15,0,11,2,1,0.090909094,9,0,8.4831276,5.321259,3.809401,4.4831276,4.9990187,2.8272963,2.0713673,2.9216683,0,0,1.0389725,6,0,-0.70465654,-0.39199412,0.028674616,2.0156541,-0.59057242,-0.21084295,0.26127496,2.1587543,-0.46440035,-0.19177237,0.17029932,2.2498059,1.2892383,2.5560391,2.5560391,2.6736662,2.6736662,-2.3591461,0,3.204638,3.2621558,0,14,14,1,0,9.090909,3.1640625,2.5,6.6612787,2.2375963,1.7122222,1.355023,0,0,1,0,2.9937601,-2.7364099,3.2475982,0,1,6,1,1,0,0,0,0,0.70174539,-0.70174539,0.59648383,0.29094893,63.233978,2.2085397,9.0208454,0,0,0,9.0455017,0,0,0,35.725906,11.908636,0,0,0.84021968,0.36322483,0.090806209,0.15978034,0.6367752,0.06897413,110.18927,47.634544,11.908636,20.954138,83.508865,9.0455017,0.5,1,0,0,0,0,1,0,0,0,1,0,131.1434,0,0,0,131.1434,0,3,0,1,0,0,0,3.1559999,0,0,9.1210184,0,3.185575,0,7.7595162,70.572739,0,59.840454,3.1519001,0,59.840454,16.880533,3.185575,0,70.572739,0,0,0,0.68403846,4.4594316,2.3829169,6.5980496,131.1434,154.0647,0,0,0,0,131.1434,0,0,164.101,152,13,54
ClC(Cl)(Cl)C,1 1 1-trichloroethane,,4.3299999,71-55-6,12.060379,1,1,0,0,0,0,0,0,8,0,0,5,4,12.490225,1.5612781,0,0,2,3,0,3,0,0,0,0,0,3.0237157,-2.2615955,-0.083667807,0.027019098,2.349838,-2.1975844,0.123,0.68949997,2.4594545,-2.0261478,0.1057,0.58530003,2.6119704,4.5396209,0,0,0,7,0,4,2,0,0,7,0,4.5,4.9016805,1.5,1.5,2,2.2008402,0.5,0.5,0,0,1.2811379,2,0,-0.68865079,-0.24366781,-0.1329809,1.5594025,-0.70352173,-0.037,0.52950001,1.7862462,-0.48583317,-0.054299999,0.4253,1.8593676,0.9192329,0.98811132,0.98811132,2.3903081,2.3903081,-1.9494677,0,0,2.2924788,0,14,14,1,0,5,1,0,11.466395,2.8443074,0,6.5227904,0,0,1,0,2.13908,-2.32551,2.4710488,1,1,0,1,0,0,0,0,0,0.24810499,-0.24810499,0.79882807,0.33333334,29.408449,0,0,0,0,0,0,0,88.745842,0,0,0,0,0,1,0.75110132,0,0,0.2488987,0,118.15429,88.745842,0,0,29.408449,0,0.5,1,0,0,0,0,1,0,0,0,1,0,118.15429,0,0,0,118.15429,0,1,1,0,0,0,1,2.3764999,0,0,0,0,0,0,0,0,0,150.77194,2.5964,0,0,0,0,0,0,0,150.77194,0,0.90438145,3,0.9709506,4.25,118.15429,101.76968,0,0,0,0,118.15429,0,0,133.405,16,0,20
OCCCC,1-butanol,,1.41,71-36-3,14.50993,1,1,0,0,1,0,0,0,15,1,2,5,4,17.384077,1.1589385,0,0,4,0,0,10,0,0,1,0,0,2.1906097,-2.568614,-0.2176601,0.2878142,2.5197105,-2.4945297,-0.15340202,0.2762312,2.6333053,-2.3302331,-0.12368833,0.35138175,2.7564154,10.93207,2,0.5,0,14,0,4,4,2,0.5,14,0,4.1213202,3.5685339,3.1213202,3.1213202,2.4142137,2.0233345,1.7071068,1.7071068,0,0,0.71809322,4,0,-0.80275744,-0.22879887,-0.013054555,1.9731842,-0.87367135,-0.13612308,-0.024760576,2.0654869,-0.52934867,-0.12459568,0.044602502,2.1765308,1.3332843,2.2012794,1.1055646,0.91561937,0.91561937,-0.46826181,0,0,2.16747,0,14,14,1,0,5,4,4,5,4,4,4,1,1,1,0,0.99299997,-0.43220001,2.2628465,0,1,0,1,0,2,0,0,0,0.22042599,-0.22042599,0.82614315,1,61.02544,0,0,22.058474,0,0,0,0,0,0,0,13.566921,0,0,0.85962957,0.14037044,0.14037044,0.14037044,0.85962957,0,83.083916,13.566921,13.566921,13.566921,83.083916,0,0.5,1,0,0,0,0,1,0,0,0,1,0,96.650833,0,0,0,96.650833,0,2,0,0,0,0,1,0.77880001,25.385227,0,0,20.926258,0,0,0,0,37.736813,33.326015,2.1993799,0,25.385227,0,0,0,37.736813,20.926258,33.326015,20.23,0.90438145,3,1.8464394,4.1464396,96.650833,89.184799,0,0,0,0,83.083916,0,13.566921,74.123001,20,2,14
Clc1c(N)ccc(Cl)c1,2 4-Dichloroaniline,,4.21,554-00-7,19.353966,1,1,0,0,0,0,6,0,14,1,1,9,8,24.183554,1.7273967,0,0,6,2,0,5,0,1,0,0,0,2.4091668,-2.1966879,-0.62317443,0.64333034,2.1483741,-2.3185716,-0.36981881,0.920196,2.3684382,-1.8430316,-0.35700127,0.93134028,2.5030451,5.6460352,0,0,6,14,0,9,1,0,0,8,0,6.8533711,6.077188,3.2320509,3.8533711,4.1983771,3.1606023,1.7380339,2.4663265,0,0,0.98833424,5,0,-0.80648267,-0.38653737,0.048292991,1.906876,-1.334204,-0.15214434,0.39862904,2.1358695,-0.4052023,-0.12470915,0.38189355,2.2472665,1.6469971,2.9961879,0.57557464,2.4983571,2.4983571,-2.520483,0,3.7102003,3.8561749,0,14,14,1,0,7.1111112,2.7222223,1.704142,7.0133772,2.6796961,1.6744504,2.088191,1,2,1,0,2.4530001,-2.5743401,3.9566464,1,1,6,1,1,0,0,0,0,0.2628575,-0.2628575,0.30664447,0.37859896,47.425484,15.739044,0,0,0,0,0,0,76.90638,0,0,0,0,0,1,0.54905319,0,0,0.45094678,0,140.07091,76.90638,0,0,63.164528,0,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,140.07091,0,0,0,140.07091,0,3,0,1,0,0,0,2.5755999,32.897186,0,0,0,0,0,7.0012131,52.929554,0,81.054039,4.08744,0,0,0,7.0012131,2.7567475,85.826744,0,78.297287,26.02,0.7642045,4.1699252,2.0374763,6.0213828,140.07091,158.83189,0,0,0,17.742489,122.32842,0,17.742489,162.019,84,10,42
