mol,Name,Source,Tox,CAS,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Benzene  1 1'-(2 2 2-trichloroethylidene)bis(4-chloro-,DSSTox2DMolFile,7.4699998,50-29-3,41.541138,0,0,2,2,0,0,12,0,28,0,0,19,18,41.164005,1.470143,0,0,14,5,0,9,0,0,0,0,0,2.0474043,-2.4301989,-0.64546198,0.70077318,2.4955864,-2.3458681,-0.53807992,0.82030278,2.59723,-2.1497877,-0.49986199,0.85431087,2.7763186,11.938863,2,0.1,12,29,0,20,3,3,0.15000001,17,0,14.043606,13.36562,7.6961522,9.0436058,8.876029,7.3434935,4.50876,6.2213283,0,0,0.99853957,10,0,-0.74362826,-0.38494739,0.08124242,2.4048686,-0.71167558,-0.26386139,0.48263279,2.5899475,-0.46009654,-0.21605732,0.4253,2.7211123,1.4080161,2.5421538,2.5421538,7.0473566,7.0473566,-6.6935639,0,6.5778399,8.0789242,0,14,14,1,0,15.39,6.1854935,3.9861591,17.275013,6.9886742,4.5266442,6.3541808,0,0,1,1,6.5030799,-6.9387102,8.3975449,1,1,12,1,2,2,1,0,0,0.45200393,-0.45200393,0.45428085,0.18195574,63.233978,11.248033,0,0,0,0,0,67.651054,147.90973,0,0,0,0,0,1,0.7432034,0,0,0.25679663,0,290.04282,215.56079,0,0,74.48201,0,0.5,1,0,0,0,0,1,0,0,0,1,0,290.04282,0,0,0,290.04282,0,5,1,2,0,0,0,6.4955001,0,0,0,0,6.37115,0,11.412009,141.14548,0,195.74323,8.5037003,0,0,0,17.783159,0,141.14548,0,195.74323,0,0.5023343,5.321928,2.9692292,8.2199469,290.04282,345.92419,0,0,0,0,290.04282,0,0,354.491,678,28,98
O=[N+]([O-])c1c(O)ccc([N+](=O)[O-])c1,Phenol  2 4-dinitro-,DSSTox2DMolFile,4.592,51-28-5,19.437172,1,1,0,0,1,0,6,0,17,1,2,13,8,32.367455,1.9039679,0,0,6,0,0,4,0,2,5,0,0,2.5624354,-2.1022849,-0.59006065,0.6782434,2.2992206,-2.0348594,-0.50420791,0.68712831,2.4202695,-1.8986069,-0.41552839,0.83646965,2.4884942,6.8848281,2,0.15384616,6,17,2,13,0,2,0.15384616,9,0,10.008072,6.2066846,3.2320509,3.8533711,6.0197444,3.1391511,1.7380339,2.4663265,0,0,1.0472451,6,0,-0.73729002,-0.42974278,0.1318897,2.1118491,-0.81299841,-0.24703147,0.1257048,2.22609,-0.49524021,-0.19770668,0.27520615,2.3150966,6.3708129,5.2713776,2.8713064,1.6918525,1.5534241,-2.2570186,0,5.6409388,4.1989202,-0.98271364,5.2452769,14,1.0912037,2.4191391,11.076923,4.4814816,2.7210884,7.5857816,2.960686,1.7430818,1.7276244,7,1,1,0,1.503,-2.60339,3.8763177,1,1,6,1,1,2,0,0,0,1.2165447,-1.2165447,0.26224107,0.21231893,15.808495,23.864563,0,15.808495,8.458519,6.6995511,6.6995511,0,0,0,13.566921,0,67.862099,0,0.43490118,0.51287991,0.42742878,0.56509882,0.48712009,0.13767003,69.04847,81.429016,67.862099,89.719719,77.339172,21.857622,0.5,1,0,0,0,0,1,0,0,0,1,0,158.76819,0,0,0,158.76819,0,3,1,1,0,0,0,1.2086,25.385227,14.171232,0,101.87002,0,0,0,52.929554,0,10.756924,4.1415601,14.171232,25.385227,101.87002,5.2434282,5.513495,52.929554,0,0,111.87,0.6193822,4.7004399,2.4961061,7.1105013,158.76819,171.95114,0,0,0,0,77.339172,67.862099,13.566921,184.10699,240,18,62
ClC(Cl)(Cl)C(P(=O)(OC)OC)O,Phosphonic acid  (2 2 2-trichloro-1-hydroxyethyl)-  dimethyl ester,DSSTox2DMolFile,9.0880003,52-68-6,25.752344,0,0,1,1,4,0,0,0,20,1,5,12,6,41.683674,2.0841837,0,0,4,3,0,8,0,0,4,1,0,4.5273967,-2.4769366,-0.23090874,0.037637472,2.6658676,-2.5389094,-0.29405445,0.62270898,2.7104309,-2.2331576,0.064532988,0.58530003,2.8914809,22.275656,3,0.27272728,0,19,0,11,5,4,0.36363637,19,0,9.9915638,9.49263,3.0773504,3.0773504,5.276021,5.4819751,0.28867513,0.28867513,1,1,1.2451601,5,0,-0.76373583,-0.35844168,-0.12236252,2.1689961,-1.2935424,-0.29246062,0.25023156,2.2567303,-0.48716274,-0.13735868,0.34580424,2.4182,5.4213953,7.3994427,5.3333387,1.6586632,1.6626285,-2.1591949,1.2561873,0,4.8217063,-0.016158922,8.7845125,14,1.0862026,0.00971206,12,3.8062284,2.7777777,19.167614,6.3392806,4.7786164,10.12574,4,1,1,0,0.46507999,-1.69733,4.9680991,1,1,0,1,0,3,0,0,0,1.2188896,-1.2188896,0.30210283,0.25647664,0,0,71.316856,0,0,0,23.64603,0,88.745842,0,13.566921,15.729136,0,9.3319435,0.78093088,0.57288706,0.11271678,0.21906911,0.42711291,0.10635234,173.62962,127.37384,25.061081,48.707111,94.962891,23.64603,0.40000001,0.66666669,0,0,0,0,1,0,0,0,1,0,222.33673,0,0,0,222.33673,0,3,1,0,0,0,1,1.0907,47.818993,0,17.482744,0,0,70.767738,0,0,0,132.24541,4.7234802,36.277027,25.385227,0,3.6394844,0,0,0,203.01314,55.759998,0.61674827,4.4594316,2.2351213,6.9030256,222.33673,200.27383,25.061081,0,0,0,170.04173,13.666999,38.628002,257.43698,185,18,56
O=[N+](OC(CO[N+](=O)[O-])CO[N+](=O)[O-])[O-],1 2 3-Propanetriol  trinitrate,DSSTox2DMolFile,3.8510001,55-63-0,19.131966,1,0,0,1,0,0,0,0,20,0,0,15,6,36.789822,1.8394911,0,0,3,0,0,5,0,3,9,0,0,3.8478408,-2.4810448,-0.11930875,0.043919496,2.5685465,-2.661756,0.0065179765,0.123,2.3922567,-2.3132515,0.1057,0.33669999,2.7367582,11.022035,8,0.5714286,0,19,3,14,4,8,0.5714286,16,0,11.844935,7.0074391,1.9915638,1.9915638,6.9135914,3.2727168,0.81649661,0.81649661,0,0,1.2855085,8,0,-0.70656252,-0.31121883,-0.1160805,2.1100345,-0.91551405,-0.22264151,-0.037,1.9813063,-0.54907036,-0.054299999,0.1767,2.2646253,9.3187437,6.8479986,6.8479986,0.7583639,0.7583639,-1.7118559,0,3.6444945,4.1295104,0,14,14,1,0,15,8.1868515,10.285714,12.017122,6.446003,7.9840508,5.1641603,12,0,1,1,0.031479999,-2.2710099,3.5340359,0,1,0,1,0,8,1,0,0,1.1738104,-1.1738104,0.20813173,0.13007383,0,0,52.57547,0,27.69216,0,0,0,0,101.79314,17.707079,0,0,0,0.86137831,0.59819549,0,0.1386217,0.40180454,0.1386217,172.07568,119.50022,0,27.69216,80.267624,27.69216,0.5,1,0,0,0,0,1,0,0,0,1,0,199.76785,0,0,0,199.76785,0,4,1,0,0,0,0.2,-1.0201,0,29.099846,40.124939,194.65755,0,0,0,0,0,0,3.7760201,62.756138,0,152.80502,6.4686494,0,0,41.852516,0,165.14999,0.54200274,4.8073549,2.9254699,7.5114875,199.76785,172.72931,0,0,0,0,80.267624,119.50022,0,227.08499,424,14,62
ClC(Cl)(Cl)Cl,Methane  tetrachloro-,DSSTox2DMolFile,3.6429999,56-23-5,10.48,1,1,0,0,0,0,0,0,5,0,0,5,4,3.6096404,0.72192812,0,0,1,4,0,0,0,0,0,0,0,3.0237157,-1.9070747,-0.066556633,-0.066556633,2.1067445,-1.807209,0.68949997,0.68949997,2.291609,-1.5768826,0.58530003,0.58530003,2.4352825,1.6799999,0,0,0,4,0,4,2,0,0,4,0,4.5,5.0355735,0.5,0.5,2,2.2677867,0,0,0,0,1.5058689,2,0,-0.55209649,-0.22655663,-0.22655663,1.2317663,-0.64141238,0.52950001,0.52950001,1.6058123,-0.30394885,0.4253,0.4253,1.6423489,1.0470349,0,0,3.0487661,3.0487661,-2.5102973,0,0,2.2427187,0,14,14,1,0,5,1,0,14.463108,3.7636881,0,10.886926,0,0,1,0,2.42116,-2.81954,2.3550787,1,1,0,1,0,0,0,0,0,0.26622653,-0.26622653,1,0.25,0,0,0,0,0,0,0,0,118.32779,0,0,0,0,0,1,1,0,0,0,0,118.32779,118.32779,0,0,0,0,0.5,1,0,0,0,0,1,0,0,0,1,0,118.32779,0,0,0,118.32779,0,1,1,0,0,0,1,2.5529001,0,0,0,0,0,0,0,0,0,156.59457,2.6143,0,0,0,0,0,0,0,156.59457,0,0.90438145,3,0.9709506,4.25,118.32779,102.14899,0,0,0,0,118.32779,0,0,153.823,16,0,20
S=P(OCC)(OCC)Oc1ccc([N+](=O)[O-])cc1,Phosphorothioic acid  O O-diethyl O-(4-nitrophenyl) ester,DSSTox2DMolFile,8.2690001,56-38-2,38.575104,0,0,1,2,3,0,6,0,32,0,3,18,11,61.868111,1.9333785,0,0,10,0,0,14,0,1,5,1,1,2.4274604,-2.4573791,-0.4588519,0.32931417,2.4984648,-2.4135706,-0.31823775,0.44876575,2.6689808,-2.2089028,-0.15160914,0.63438481,2.7979348,28.648897,7,0.3888889,6,32,1,18,6,7,0.3888889,25,0,13.596012,11.778456,6.7236147,7.3973413,8.5041494,7.8921456,3.2355807,4.0472069,0,0,0.95445025,10,0,-0.72655761,-0.40291294,-0.064338334,2.3159502,-0.80908972,-0.2575846,0.079794906,2.4673674,-0.51723373,-0.15922302,0.18760051,2.5863137,7.0460482,6.9973755,6.9973755,2.7036908,2.7036908,-3.7092218,1.3030394,4.4374242,7.2440577,0,14,14,1,0,16.055555,7.5555553,5.2674899,15.84546,7.4506521,5.1912494,6.5588341,6,0,1,0,3.066,-4.2659502,7.2789721,1,1,6,1,1,7,0,0,0,1.5562057,-1.5562057,0.21395598,0.2941438,90.433891,35.645023,0,8.458519,44.116947,6.6995511,15.590208,0,0,0,4.6659718,9.3319435,33.931049,33.008488,0.49383643,0.2871328,0.27057984,0.50616354,0.7128672,0.23558369,139.2034,80.937454,76.271477,142.67819,200.94414,66.406708,0.5,1,0,0,0,0,1,0,0,0,1,0,281.88159,0,0,0,281.88159,0,5,1,1,0,0,0.8888889,3.2711,6.9216304,7.0856161,56.537235,92.787521,0,0,0,70.572739,0,87.579338,7.1261401,20.928877,6.9216304,50.935009,5.2434282,2.7567475,70.572739,41.852516,122.27314,105.6,0.50325835,5.1699252,3.155273,8.0266657,281.88159,290.37869,13.997915,0,0,0,185.35393,82.529739,13.997915,291.26401,661,24,84
Oc1ccc(/C(=C(\CC)/c2ccc(O)cc2)/CC)cc1,4 4'-Stilbenediol  alpha alpha'-diethyl-  (E)- (8CI),DSSTox2DMolFile,5.3699999,56-53-1,46.619862,0,0,1,2,2,0,12,0,40,2,4,20,18,49.379913,1.2344978,0,0,18,0,0,20,0,0,2,0,0,1.9691299,-2.4979758,-0.64223796,0.7036435,2.4462528,-2.3068998,-0.53807992,0.80591482,2.6411602,-2.2084968,-0.49986199,0.85431087,2.7575855,21.86414,4,0.19047619,12,41,1,21,2,4,0.19047619,28,0,14.53517,11.927443,11.033015,12.53517,9.6513968,6.9612684,6.5140548,8.4966965,0,0,0.73071635,11,0,-0.77634972,-0.38082269,0.082937621,2.5737283,-0.76178998,-0.26386139,0.16445385,2.7628119,-0.51547956,-0.21605732,0.19305076,2.8765302,1.6840806,7.0220771,3.3322701,5.220015,5.2035728,-4.9859614,0,7.6377068,8.2060108,-0.043574892,8.3456659,14,1.1969991,0.026431449,16.371881,7.8520408,4.25,12.167507,5.7367263,3.0663648,3.490083,2,2,1,0,5.0619998,-5.2263999,8.2474928,0,1,13,1,2,4,1,0,0,0.44042629,-0.44042629,0.29718575,0.43129668,216.90184,0,16.917038,0,0,0,0,8.8341589,0,0,27.133842,0,0,0,1,0.13332005,0,0,0.86667997,0,269.7869,35.967999,0,0,233.81888,0,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,269.7869,0,0,0,269.7869,0,6,0,2,0,0,0,4.8285999,50.770454,0,0,0,6.37115,0,0,147.51663,37.736813,77.138885,8.36096,0,50.770454,0,16.858006,6.37115,178.88228,0,66.652031,40.459999,0.48464775,5.3923173,3.1173522,8.360673,269.7869,339.66119,0,0,0,0,242.65305,0,27.133842,268.35599,814,30,98
c12c3c(ccc1cc1c(c2)cccc1)cccc3,Benz(a)anthracene,DSSTox2DMolFile,6.2189999,56-55-3,39.681515,0,0,1,1,0,0,18,0,30,0,0,18,18,29.128517,0.9709506,0,0,18,0,0,12,0,0,0,0,0,1.525618,-2.2562532,-0.65553254,0.69625366,2.2051065,-2.0209439,-0.51797044,0.82975143,2.4481933,-1.8812859,-0.47184426,0.89222109,2.5919845,13.118484,0,0,21,33,0,21,0,0,0,12,0,11.949383,9.9282036,9.9282036,11.949383,8.9158163,6.2200847,6.2200847,8.9158163,0,0,0.69851387,9,0,-0.75372416,-0.41756469,0.081119396,2.4790857,-0.54094225,-0.26382577,0.17752272,2.7055688,-0.39791119,-0.20214468,0.2206836,2.8397605,0,3.2305553,3.2305553,5.1256728,5.1256728,-6.8667641,0,9.7451725,7.4494658,0,14,14,1,0,11.795918,4.8355556,2.0767982,7.6316967,3.0394349,1.2776097,1.2886692,0,0,1,1,5.6440001,-7.0185199,7.5242672,1,1,21,1,4,0,1,0,0,0,0,0,0,202.95317,0,0,0,0,0,0,202.95317,0,0,0,0,0,0,1,0,0,0,1,0,202.95317,0,0,0,202.95317,0,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,202.95317,0,0,0,202.95317,0,5,0,4,0,0,0,5.1462002,0,0,0,0,0,0,0,227.15601,0,0,7.8959999,0,0,0,0,15.437786,211.71822,0,0,0,0.55642158,5.3923173,2.8547246,8.0523396,202.95317,309.51138,0,0,0,0,202.95317,0,0,228.29399,553,31,102
ClC1(Cl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C1C2C(Cl)C(Cl)C1,4 7-Methano-1H-indene  1 2 4 5 6 7 8 8-octachloro-2 3 3a 4 7 7a-hexahydro-,DSSTox2DMolFile,6.6199999,57-74-9,39.040756,0,0,2,2,0,0,0,0,24,0,0,18,17,37.310043,1.5545852,0,0,10,8,0,6,0,0,0,0,0,2.206598,-2.5633986,-0.62350231,0.50529188,2.9777331,-2.6040425,-0.28308612,1.0219734,2.9359114,-2.3306165,-0.21785666,1.0013742,3.2137368,9.9192419,0,0,0,26,1,20,2,0,0,25,0,13.671208,14.587655,5.5165076,5.6712084,8.1139317,8.3548346,3.6438468,3.8045304,6,6,1.2595422,6,0,-0.76005405,-0.41405427,-0.034164384,2.7546868,-0.90034342,-0.21915272,0.56176007,2.8316393,-0.52984768,-0.059376929,0.47328439,3.0306435,2.426868,2.1981862,2.1981862,6.0391932,6.0391932,-6.3394213,0,1.1062467,7.4199085,0,14,14,1,0,13.005,3.1789627,0.99895942,22.222874,5.5972538,1.797847,6.9103923,0,0,1,1,6.7733598,-7.2066102,7.6757455,1,1,12,1,3,0,1,0,0,0.80683589,-0.80683589,0.20685443,0.14093556,20.225574,18.078985,0,0,0,0,0,0,118.32779,118.32779,0,0,0,0,1,0.86069047,0,0,0.1393095,0,274.96014,236.65558,0,0,38.304558,0,0.33333334,0.5,0,0,0,0,1,0,0,0,1,0,274.96014,0,0,0,274.96014,0,4,1,3,0,0,0.22222222,5.6827998,0,0,9.4516554,0,8.8215923,7.0012131,0,0,18.868406,313.18915,8.1216002,0,0,8.8215923,16.452868,0,18.868406,0,313.18915,0,0.53921634,5.321928,2.3610604,8.1184435,274.96014,320.54028,0,0,0,0,274.96014,0,0,409.78198,459,45,114
Clc1ccc(-c2c(N)nc(N)nc2CC)cc1,Pyrimidine  2 4-diamino-5-(p-chlorophenyl)-6-ethyl-,DSSTox2DMolFile,4.632,58-14-0,36.368309,1,1,0,0,2,0,12,0,30,2,4,17,11,48.081451,1.602715,0,0,12,1,0,13,0,4,0,0,0,2.0247755,-2.4039237,-0.66643822,0.62714374,2.3885374,-2.4047558,-0.56053358,0.78904641,2.492974,-2.1541901,-0.42413312,0.85897279,2.6615889,15.951691,2,0.11111111,12,31,0,18,2,2,0.11111111,19,0,12.413849,10.199529,7.0165076,7.9996357,8.1133919,5.6707516,3.6320274,4.7483482,0,0,0.84827769,9,0,-0.78599322,-0.42242125,0.046621375,2.3749082,-1.3403713,-0.28090447,0.1962709,2.5110989,-0.51315361,-0.21289654,0.28392535,2.6790967,6.1182566,9.1908216,1.7529944,1.3229463,1.58685,-2.9960465,0,7.0916877,6.9483685,0.48625547,14,7.0332398,2.7727842,0.39296719,13.432098,5.7600002,3.0625,10.009226,4.2060986,2.2003291,2.4764583,4,4,1,0,2.24,-4.3183298,6.8381147,1,1,12,1,2,2,0,0,0,0.64010561,-0.64010561,0.37185004,0.34173262,112.868,11.219297,0,11.190562,15.681574,0,0,0,65.066925,0,0,11.365152,0,0,0.88105655,0.33612546,0.049980547,0.11894343,0.66387451,0.068962879,200.34479,76.432076,11.365152,27.046726,150.95944,15.681574,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,227.39151,0,0,0,227.39151,0,5,0,2,0,0,0.64705884,2.5237701,65.794373,33.57106,0,0,2.7567475,18.868406,3.5006065,76.943886,0,76.701675,7.0680799,0,33.57106,0,6.2573543,10.598163,155.23552,0,72.474655,77.82,0.54234898,5.1699252,2.8529727,7.8915906,227.39151,277.75455,11.365152,0,0,35.484978,153.66925,26.872137,46.850132,248.717,498,26,86
